phase,index,case,effort,thinking_budget_tokens,max_tokens,reasoning_deltas,reasoning_chars,reasoning_utf8,content_deltas,content_chars,content_utf8,production_bytesRead,production_decodedChunkCount,production_frames,full_observer_bytes,observer_chunks,full_frames,done,finish_reason,hard_ceiling,production_utilization_percent,full_response_utilization_percent,terminal,error,http_status,capture_error,duration_ms,evidence_file,raw_sha256
"final-accepted","1","short","inherited","6144","8192","612","2435","2777","47","90","264","168294","660","660","168294","660","660","true","stop","4194304","4.01","4.01","text","","200","","10226",".tmp/vela-f6/accepted-1-short-1788597968238.json","13a1150866c16bf14c59b41c1236f85b02d84701f3314191e656eb8bfa1c6f16"
"final-accepted","2","medium","inherited","6144","8192","1116","4597","4623","635","1140","2804","437481","1752","1752","437481","1752","1752","true","stop","4194304","10.43","10.43","text","","200","","24602",".tmp/vela-f6/accepted-2-medium-1788597992842.json","2164e46f03477a49e6db3d7b9111db485e5915428d41bbff639837715cb46ad4"
"final-accepted","3","medium","inherited","6144","8192","1742","6419","7433","393","725","1843","541655","2136","2136","541655","2136","2136","true","stop","4194304","12.91","12.91","text","","200","","28224",".tmp/vela-f6/accepted-3-medium-1788598021070.json","e4806ce169b94973567c5ea10d218f0515af509582a96a03e9056be848e6dbf8"
"final-accepted","4","long","inherited","6144","8192","3376","10115","14693","335","554","1592","941175","3712","3712","941175","3712","3712","true","stop","4194304","22.44","22.44","text","","200","","48105",".tmp/vela-f6/accepted-4-long-1788598069180.json","0755ff135d182a2cb11b0c4d51a197e5688031f94244c3433eb9c286fbdbc082"
"final-accepted","5","long","inherited","6144","8192","6129","13806","26780","317","505","1451","1637100","6447","6447","1637100","6447","6447","true","stop","4194304","39.03","39.03","text","","200","","84905",".tmp/vela-f6/accepted-5-long-1788598154092.json","8b83645b8eed525b0c9c3aad9768928ff659650c8f0f491b73e26b8cdfc7c101"
"final-accepted","6","proposal","inherited","2048","4096","2047","7988","7988","93","258","258","545162","2141","2141","545162","2141","2141","true","stop","4194304","13.00","13.00","localProposal","","200","","28107",".tmp/vela-f6/accepted-6-proposal-1788598182211.json","9f07f196cc0bfee288f68dcda1e0eb12a41c1ffa9ea25effc3d711e2850d54b7"
"final-accepted","7","proposal","inherited","2048","4096","2047","8613","8613","146","336","336","556335","2194","2194","556335","2194","2194","true","stop","4194304","13.26","13.26","localProposal","","200","","28777",".tmp/vela-f6/accepted-7-proposal-1788598210991.json","811424ab102298039ecaab36007487c40fc34e61e961983f6958612a8a5b0c63"
"final-accepted","8","logical","inherited","2048","4096","2047","9487","9487","110","325","325","550629","2158","2158","550629","2158","2158","true","stop","4194304","13.13","13.13","logicalPlanProposal","","200","","28459",".tmp/vela-f6/accepted-8-logical-1788598239454.json","85be1dd0be9d39ff10a8457ef8defcec6dbe542a4bc66d43b9930882389f0b5d"
"final-accepted","9","logical","inherited","2048","4096","2047","9596","9596","170","459","459","565314","2218","2218","565314","2218","2218","true","stop","4194304","13.48","13.48","logicalPlanProposal","","200","","29210",".tmp/vela-f6/accepted-9-logical-1788598268667.json","023a95845538af46479cd5f6fbad69d6c3209e69a76b0dc65887facafbe56f6d"
"final-accepted","10","medium","none","6144","8192","0","0","0","675","1191","2803","165775","676","676","165775","676","676","true","stop","4194304","3.95","3.95","text","","200","","8813",".tmp/vela-f6/accepted-10-medium-1788598277483.json","628efbee39f44ee153320cdcc8a4f4e9ac7a19d4e2860d5d61e745becc6826e3"
"final-accepted","11","overflow","inherited","6144","8192","1949","6857","9027","48","91","243","508461","1998","1998","508461","1998","1998","true","stop","4194304","12.12","12.12","text","","200","","25745",".tmp/vela-f6/accepted-11-overflow-1788598303230.json","c36ae894f185afd2a267a60461b85af7a1d748d5eb7790c00cff8270718071e8"
"policy","0","medium","off","inherited","inherited","0","0","0","0","0","0","","","","256","1","0","false","","4194304","","0.01","error","PROVIDER_RESPONSE_INVALID","400","","30",".tmp/vela-f6/policy-0-medium-1788597091662.json","510fce87869c7c677484e437777b092968436e40c06d0e86efe2ae92e89574ee"
"policy","1","medium","on","inherited","inherited","0","0","0","0","0","0","","","","255","1","0","false","","4194304","","0.01","error","PROVIDER_RESPONSE_INVALID","400","","5",".tmp/vela-f6/policy-1-medium-1788597091667.json","58cb7f7f7563b2f7bf4c796d475bd6f96c70bdc27e6e00a34051db84f20063be"
"policy","2","medium","on","1024","4096","0","0","0","0","0","0","","","","255","1","0","false","","4194304","","0.01","error","PROVIDER_RESPONSE_INVALID","400","","4",".tmp/vela-f6/policy-2-medium-1788597091671.json","58cb7f7f7563b2f7bf4c796d475bd6f96c70bdc27e6e00a34051db84f20063be"
"policy","3","medium","on","2048","4096","0","0","0","0","0","0","","","","255","1","0","false","","4194304","","0.01","error","PROVIDER_RESPONSE_INVALID","400","","3",".tmp/vela-f6/policy-3-medium-1788597091675.json","58cb7f7f7563b2f7bf4c796d475bd6f96c70bdc27e6e00a34051db84f20063be"
"policy","4","medium","on","1024","128","0","0","0","0","0","0","","","","255","1","0","false","","4194304","","0.01","error","PROVIDER_RESPONSE_INVALID","400","","4",".tmp/vela-f6/policy-4-medium-1788597091679.json","58cb7f7f7563b2f7bf4c796d475bd6f96c70bdc27e6e00a34051db84f20063be"
"policy","5","medium","on","-1","inherited","0","0","0","0","0","0","","","","74","1","0","false","","4194304","","0.00","error","PROVIDER_RESPONSE_INVALID","400","","3",".tmp/vela-f6/policy-5-medium-1788597091682.json","ac54390dec8d8532045ed5e2665cdedf0432ad7efc111fb95fa692d1c5702603"
"policy-supported","0","medium","none","inherited","inherited","0","0","0","591","1043","2435","143384","592","592","143384","592","592","true","stop","4194304","3.42","3.42","text","","200","","7958",".tmp/vela-f6/policy-supported-0-medium-1788597122941.json","8a1f2ae36d42c6517d8be8d77b2ccfabd72eed68f9783f6751db48990f26e3e5"
"policy-supported","1","medium","low","inherited","inherited","1565","5661","6917","403","746","1966","499224","1969","1969","499224","1969","1969","true","stop","4194304","11.90","11.90","text","","200","","25485",".tmp/vela-f6/policy-supported-1-medium-1788597148428.json","ade5a89905323859aa655b523162105e9dba64c721f6ac1855e1a16b4b031a3b"
"policy-supported","2","medium","medium","inherited","inherited","1381","5861","5925","851","1533","3539","561618","2233","2233","561618","2233","2233","true","stop","4194304","13.39","13.39","text","","200","","29024",".tmp/vela-f6/policy-supported-2-medium-1788597177456.json","9f4534c1fa85949b7d5ce5014a69e2b600d49416f1fed23f162393aec7a39c15"
"policy-supported","3","medium","high","inherited","inherited","1316","5461","5507","615","1094","2670","483252","1932","1932","483252","1932","1932","true","stop","4194304","11.52","11.52","text","","200","","25106",".tmp/vela-f6/policy-supported-3-medium-1788597202567.json","8767e68f9695b33f0e72737b2d8ad0a36fa06ef066d071e04b519dd233beeea7"
"policy-supported","4","medium","inherited","1024","4096","1023","4207","4241","820","1498","3526","462549","1844","1844","462549","1844","1844","true","stop","4194304","11.03","11.03","text","","200","","23943",".tmp/vela-f6/policy-supported-4-medium-1788597226515.json","cc57f3e6f03740ecae7e9d6658076d19f429dd13536a6a0057c79137a8902a61"
"policy-supported","5","medium","inherited","2048","4096","1330","5349","5743","455","780","2026","449854","1786","1786","449854","1786","1786","true","stop","4194304","10.73","10.73","text","","200","","23211",".tmp/vela-f6/policy-supported-5-medium-1788597249730.json","dc0c584c2a666e381914d86fb89172e8908ec8b69e7909d5e0c24ee988d62f95"
"policy-supported","6","medium","inherited","1024","128","128","565","565","0","0","0","32837","128","129","32837","128","129","true","length","4194304","0.78","0.78","error","PROVIDER_RESPONSE_INVALID","200","","1729",".tmp/vela-f6/policy-supported-6-medium-1788597251463.json","b43d362108ca881bed13e0e138060561b54abdcd8d4e14a6018b51a7cb8ec8c3"
"rejected-uniform-2048","0","short","inherited","2048","4096","798","2846","3558","82","134","390","223450","881","881","223450","881","881","true","stop","4194304","5.33","5.33","text","","200","","11915",".tmp/vela-f6/final-0-short-1788597339403.json","49de5e76c9701eff6ab70d0bed7f2ac1382b58c906b30b3f754140df11e3033f"
"rejected-uniform-2048","1","short","inherited","2048","4096","885","3532","4074","83","162","434","246003","969","969","246003","969","969","true","stop","4194304","5.87","5.87","text","","200","","12835",".tmp/vela-f6/final-1-short-1788597352241.json","61a8748aa481ec199e555280101eddb3c46240e7f10da474efc2b7dd9fc01646"
"rejected-uniform-2048","2","short","inherited","2048","4096","1136","4048","5280","64","113","333","306522","1201","1201","306522","1201","1201","true","stop","4194304","7.31","7.31","text","","200","","15938",".tmp/vela-f6/final-2-short-1788597368182.json","81f2ed5190b440fc5e8b68bbb10c52375ea95324bd39b2b6dfc4e8fd89fbd11e"
"rejected-uniform-2048","3","medium","inherited","2048","4096","1805","6344","7824","422","738","1870","564863","2228","2228","564863","2228","2228","true","stop","4194304","13.47","13.47","text","","200","","29785",".tmp/vela-f6/final-3-medium-1788597397971.json","e33a2bb3f7f1cad81ffb0016aed462cd1fef10a88b97a67d21b9259c36fbf19e"
"rejected-uniform-2048","4","medium","inherited","2048","4096","1294","4974","5272","699","1276","3110","502043","1994","1994","502043","1994","1994","true","stop","4194304","11.97","11.97","text","","200","","26168",".tmp/vela-f6/final-4-medium-1788597424144.json","be9794923cd32ce16dda0e9e6aaf1404fd705696175b4421efdb6e0f86a74559"
"rejected-uniform-2048","5","medium","inherited","2048","4096","1540","5687","6197","543","977","2305","526327","2084","2084","526327","2084","2084","true","stop","4194304","12.55","12.55","text","","200","","27829",".tmp/vela-f6/final-5-medium-1788597451977.json","4ca93a7fea2e42496dfad285b3f8d73879b495e0f933788a862e5439dfa01190"
"rejected-uniform-2048","6","long","inherited","2048","4096","2047","6422","9010","2045","4130","9230","1021273","4093","4093","1021273","4093","4093","true","length","4194304","24.35","24.35","error","PROVIDER_RESPONSE_INVALID","200","","53203",".tmp/vela-f6/final-6-long-1788597505185.json","034a047ce2e5f791f8d030ebd971cc3fe49875eac33c5c0446ae82f81d814661"
"rejected-uniform-2048","7","long","inherited","2048","4096","2047","6072","9154","2046","4448","9430","1021808","4094","4094","1021808","4094","4094","true","length","4194304","24.36","24.36","error","PROVIDER_RESPONSE_INVALID","200","","52856",".tmp/vela-f6/final-7-long-1788597558049.json","bf9e4e9129714ec35b0be79cdc6338ae895c72b3936b87b72b4a995332580ea1"
"rejected-uniform-2048","8","long","inherited","2048","4096","2047","5789","8991","2045","4022","9338","1021340","4092","4093","1021340","4092","4093","true","length","4194304","24.35","24.35","error","PROVIDER_RESPONSE_INVALID","200","","53075",".tmp/vela-f6/final-8-long-1788597611133.json","ef95f33381079b60db4eaf6113a77f6e2de61d59c9b4c7449a05de7f0081f3ae"
"rejected-uniform-2048","9","proposal","inherited","2048","4096","2047","8948","8948","93","258","258","545940","2141","2141","545940","2141","2141","true","stop","4194304","13.02","13.02","localProposal","","200","","28144",".tmp/vela-f6/final-9-proposal-1788597639285.json","e537f172b2a661bc119406fb0d44f8b815c5133f80a8917e43c1c81d787a3904"
"rejected-uniform-2048","10","proposal","inherited","2048","4096","2047","9285","9285","116","306","306","549675","2164","2164","549675","2164","2164","true","stop","4194304","13.11","13.11","localProposal","","200","","28453",".tmp/vela-f6/final-10-proposal-1788597667741.json","3270804dedfe9221df609ddb606650ef786d57bc15c98cd9ff453715abc2b413"
"rejected-uniform-2048","11","proposal","inherited","2048","4096","2047","8202","8202","94","258","258","543385","2142","2142","543385","2142","2142","true","stop","4194304","12.96","12.96","localProposal","","200","","31311",".tmp/vela-f6/final-11-proposal-1788597699055.json","1eb365e2cf0eaf941b89a0e54f1caf56423c44050ae3832246a11a64eccad8f8"
"rejected-uniform-2048","12","logical","inherited","2048","4096","2047","8701","8701","192","480","480","569782","2240","2240","569782","2240","2240","true","stop","4194304","13.58","13.58","logicalPlanProposal","","200","","39286",".tmp/vela-f6/final-12-logical-1788597738345.json","49acd9000e022f10e5e5e6d4310ee71d004b1f8883fcaf4ec630548c4ab1a563"
"rejected-uniform-2048","13","logical","inherited","2048","4096","2047","9757","9757","170","459","459","563245","2218","2218","563245","2218","2218","true","stop","4194304","13.43","13.43","logicalPlanProposal","","200","","38662",".tmp/vela-f6/final-13-logical-1788597777011.json","439ef67993aa79e603f29df95038b3746d6b2b9383a90853707c18db0a3ade63"
"rejected-uniform-2048","14","logical","inherited","2048","4096","2047","8523","8523","194","480","480","570106","2242","2242","570106","2242","2242","true","stop","4194304","13.59","13.59","logicalPlanProposal","","200","","40791",".tmp/vela-f6/final-14-logical-1788597817806.json","c79f62205cbef73c698601810803491fb5585b4e327fe77490f57662ce2a3a23"
